,Unnamed: 0,Top_1_name,Top_2_name,Top_1_count,Top_2_count,click_count,num_links_in,name_links_in,num_links_out,name_links_out,Rank,Country,Citable documents
0,%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,ireland,isle of man,8.0,4.0,0,,,11.0,"['Bede', 'Columba', 'D%C3%A1l_Riata', 'Great_Britain', 'Ireland', 'Isle_of_Man', 'Monarchy', 'Orkney', 'Picts', 'Scotland', 'Wales']",1,united states,469050
1,%C3%85land,finland,åland islands,36.0,16.0,4,,,19.0,"['20th_century', 'Baltic_Sea', 'Crimean_War', 'Currency', 'Euro', 'European_Union', 'Finland', 'League_of_Nations', 'List_of_countries_by_system_of_government', 'Nationality', 'Parliamentary_system', 'Police', 'Russia', 'Stockholm', 'Sweden', 'Time_zone', 'Tourism', 'United_Kingdom', 'World_War_II']",2,china,221145
2,%C3%89douard_Manet,italy,france,2.0,2.0,7,,,20.0,"['Absinthe', 'Beer', 'Claude_Monet', 'Diego_Vel%C3%A1zquez', 'Edgar_Allan_Poe', 'France', 'Francisco_Goya', 'Germany', 'Impressionism', 'Italy', 'Landscape', 'Netherlands', 'Painting', 'Paris', 'Photography', 'Raphael', 'Renaissance', 'Sweden', 'United_States_dollar', 'Washington%2C_D.C.']",3,united kingdom,129869
3,%C3%89ire,ireland,canada,43.0,4.0,13,,,8.0,"['Canada', 'English_language', 'George_VI_of_the_United_Kingdom', 'Ireland', 'Northern_Ireland', 'Ottawa', 'Republic_of_Ireland', 'United_Kingdom']",4,germany,122165
4,%C3%93engus_I_of_the_Picts,ireland,,9.0,,0,,,10.0,"['D%C3%A1l_Riata', 'Durham', 'England', 'Great_Britain', 'Ireland', 'Lion', 'Mercia', 'Scotland', 'Viking', 'York']",5,japan,120028
5,%E2%82%AC2_commemorative_coins,luxembourg,san marino,15.0,14.0,1,,,47.0,"['Athens', 'Atlantic_Ocean', 'Austria', 'Belgium', 'Berlin', 'Brussels', 'Cathedral_of_Magdeburg', 'Cereal', 'Christopher_Columbus', 'Cologne', 'Comet', 'Dresden', 'European_Union', 'Finland', 'France', 'Galileo_Galilei', 'Germany', 'Greece', 'Hamburg', 'Harold_Macmillan', 'Heraldry', 'History', 'Ireland', 'Italy', 'Luxembourg', 'Maize', 'Miguel_de_Cervantes', 'Monaco', 'Munich', 'Netherlands', 'Numismatics', 'Nutrition', 'Pope_John_Paul_II', 'Portugal', 'Rice', 'San_Marino', 'Sanssouci', 'Soviet_Union', 'Spain', 'Suffrage', 'Turin', 'United_Kingdom', 'United_Nations', 'United_States', 'Vatican_City', 'Wheat', 'Zeus']",6,france,86318
6,10th_century,france,india,3.0,2.0,150,65.0,"['11th_century', '12th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Abbey', 'Abbot', 'Bosnia_and_Herzegovina', 'Bratislava', 'British_monarchy', 'Calculus', 'Carrot', 'Chinese_language', 'Chola_dynasty', 'Comma_Johanneum', 'Edward_the_Confessor', 'England', 'Great_Moravia', 'Guitar', 'History_of_Anglo-Saxon_England', 'History_of_science', 'Iran', 'J%C3%B3rv%C3%ADk', 'Khazars', 'Lindisfarne_Gospels', 'Lion', 'Luxembourg_%28city%29', 'Maya_mythology', 'Medieval_commune', 'Merseburg_Incantations', 'Monarchies_in_the_European_Union', 'Mongolia', 'Norway', 'Novel', 'Old_English_language', 'Old_Nubian_language', 'Oxford', 'Quetzalcoatl', 'Slovakia', 'Taoism', 'The_Gambia', 'Thor', 'Tibet', 'Timbuktu', 'Turkey', 'Ukraine', 'University', 'Vietnam', 'Viking', 'Warsaw', 'Welsh_law', 'Zimbabwe']",26.0,"['11th_century', '9th_century', 'Algeria', 'Beer', 'Black_Sea', 'Byzantine_Empire', 'Dark_Ages', 'Dublin', 'France', 'Germany', 'Great_Moravia', 'India', 'Italy', 'Khazars', 'Lion', 'Maya_civilization', 'Mexico', 'Monarchy', 'Myanmar', 'Philippines', 'Poland', 'Scotland', 'Solar_System', 'Sweden', 'Time', 'Viking']",7,canada,70991
7,11th_century,italy,spain,2.0,2.0,141,57.0,"['10th_century', '12th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Anglo-Saxon_literature', 'Backgammon', 'Bologna', 'Calligraphy', 'Chola_dynasty', 'Civilization', 'Eilmer_of_Malmesbury', 'Faroe_Islands', 'Georgia_%28country%29', 'Greenland', 'History_of_Anglo-Saxon_England', 'History_of_science', 'Macbeth_of_Scotland', 'Medieval_commune', 'Mosque', 'Music_of_Hungary', 'New_Zealand', 'Norse_mythology', 'Norway', 'Nottingham', 'Novel', 'Ordination_of_women', 'Pope', 'Rice', 'Sanskrit', 'Serbia', 'Shanghai', 'Swaziland', 'Togo', 'Tower_of_London', 'Trabancos_River', 'Turkey', 'Ukraine', 'Vietnam', 'Viking', 'Welsh_law', 'Westminster_Abbey', 'Yemen', 'Zimbabwe']",48.0,"['10th_century', '12th_century', '13th_century', '14th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '21st_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Battle_of_Hastings', 'Byzantine_Empire', 'Canute_the_Great', 'China', 'Crusades', 'Dark_Ages', 'Domesday_Book', 'East-West_Schism', 'Edward_the_Confessor', 'England', 'First_Crusade', 'France', 'Ghana', 'India', 'Jerusalem', 'Leif_Ericson', 'Macbeth_of_Scotland', 'Mauritania', 'Myanmar', 'Nigeria', 'Norman_conquest_of_England', 'North_America', 'Novel', 'Portugal', 'Time', 'Viking', 'William_I_of_England']",8,italy,69013
8,12th_century,france,ireland,4.0,2.0,169,85.0,"['11th_century', '13th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Alcohol', 'Amsterdam', 'Andriyivskyy_Descent', 'Backgammon', 'Benjamin_of_Tudela', 'Bologna', 'Bosnia_and_Herzegovina', 'Bread', 'Brussels', 'Cai_Lun', 'Chicken', 'Chinese_language', 'Chola_dynasty', 'Christian_monasticism', 'Distilled_beverage', 'Domesday_Book', 'Dublin', 'East-West_Schism', 'Flanders', 'Flat_Earth', 'Georgia_%28country%29', 'Glasses', 'Greek_mythology', 'Guatemala', 'Haemophilia', 'Hampshire', 'History_of_painting', 'History_of_science', 'Holy_Roman_Empire', 'Irish_people', 'Jocelin', 'Kipchaks_in_Georgia', 'Luxembourg_%28city%29', 'Malcolm_III_of_Scotland', 'Maldives', 'Mathematical_analysis', 'Maya_civilization', 'Medieval_commune', 'Medieval_music', 'Middle_Ages', 'Milton_Keynes', 'Mongolia', 'Myanmar', 'Nahuatl_language', 'Netherlands', 'Number', 'Old_English_language', 'Oxford', 'Patna', 'Penda_of_Mercia', 'Peru', 'Physics', 'Ptolemy', 'Real_tennis', 'Scotland_in_the_High_Middle_Ages', 'Sulfur', 'Svalbard', 'Taoism', 'The_Fens', 'Tibet', 'Trabancos_River', 'Trobairitz', 'Tunisia', 'Warsaw', 'Welsh_law', 'Weymouth', 'Zambia']",45.0,"['10th_century', '11th_century', '13th_century', '14th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '21st_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Angkor_Wat', 'Croatia', 'England', 'France', 'Francis_of_Assisi', 'Frederick_II%2C_Holy_Roman_Emperor', 'Genghis_Khan', 'Henry_II_of_England', 'Hungary', 'Iceland', 'India', 'Iran', 'Ireland', 'Mongol_Empire', 'Paris', 'Portugal', 'Richard_I_of_England', 'Saladin', 'Second_Crusade', 'Serbia', 'Sweden', 'The_Anarchy', 'Thomas_Becket', 'Time']",9,spain,54203
9,13th_century,china,hungary,3.0,3.0,175,84.0,"['11th_century', '12th_century', '14th_century', '15th_century', '16th_century', '17th_century', '18th_century', '19th_century', '1st_century', '1st_century_BC', '20th_century', '2nd_century', '3rd_century', '4th_century', '5th_century', '6th_century', '7th_century', '8th_century', '9th_century', 'Art', 'Astronomy', 'Azerbaijan', 'Backgammon', 'Battle_of_Grunwald', 'Book', 'Button', 'Byzantine_Empire', 'Cai_Lun', 'Chola_dynasty', 'Coal', 'Finland', 'Flat_Earth', 'Go_%28board_game%29', 'Great_Yarmouth', 'Heilbronn', 'Heliocentrism', 'History_of_painting', 'Irish_people', 'Isaac', 'Isan', 'Islam', 'John_of_England', 'Kigo', 'King_Arthur', 'Kipchaks_in_Georgia', 'Kosovo', 'Lyon', 'Malcolm_III_of_Scotland', 'Manorialism', 'Medieval_music', 'Mongolia', 'Mount_Vesuvius', 'Music_of_the_trecento', 'Mysticism', 'Netherlands', 'New_Zealand', 'Norse_mythology', 'Novel', 'Persian_Empire', 'Peru', 'Physics', 'Pope', 'Renaissance', 'Saffron', 'Santorini', 'Schuttern_Gospels', 'Scurvy', 'Skiing', 'Society_of_Merchant_Venturers', 'Stock', 'Tehran', 'The_Fens', 'Thomas_Becket', 'Tower_of_London', 'Trabancos_River', 'Trobairitz', 'Vietnam', 'Viking', 'Warsaw', 'Weather', 'Welsh_law', 'Western_painting', 'Weymouth', 'William_Harvey']",34.0,"['12th_century', '14th_century', 'Angola', 'Arabic_language', 'Asia', 'Bantu', 'Buddhism', 'Byzantine_Empire', 'Cambodia', 'China', 'Dante_Alighieri', 'Europe', 'Francis_of_Assisi', 'Frederick_II%2C_Holy_Roman_Emperor', 'Genghis_Khan', 'Holy_Roman_Empire', 'Hungary', 'Iceland', 'Iran', 'Islam', 'Isle_of_Man', 'John_of_England', 'Laos', 'Magna_Carta', 'Malaysia', 'Marco_Polo', 'Mongol_Empire', 'Myanmar', 'Norway', 'Scotland', 'Stockholm', 'Thailand', 'Thomas_Aquinas', 'Time']",10,india,49684
