,Top_1_name,Top_2_name,Top_1_count,Top_2_count
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,ireland,isle of man,8,4
%C3%85land,finland,åland islands,36,16
%C3%89douard_Manet,italy,france,2,2
%C3%89ire,ireland,canada,43,4
%C3%93engus_I_of_the_Picts,ireland,,9,
%E2%82%AC2_commemorative_coins,luxembourg,san marino,15,14
10th_century,france,india,3,2
11th_century,italy,spain,2,2
12th_century,france,ireland,4,2
13th_century,china,hungary,3,3
14th_century,poland,india,4,3
15th_century,spain,france,7,5
15th_Marine_Expeditionary_Unit,iraq,united states,6,5
16th_century,russia,france,5,5
16_Cygni,,,,
16_Cygni_Bb,,,,
1755_Lisbon_earthquake,portugal,,6,
17th_century,france,japan,13,5
1896_Summer_Olympics,greece,hungary,15,10
18th_century,france,united states,6,5
1928_Okeechobee_Hurricane,puerto rico,bahamas,13,7
1973_oil_crisis,united states,israel,14,8
1980_eruption_of_Mount_St._Helens,,,,
1997_Pacific_hurricane_season,mexico,united states,5,3
19th_century,united states,russia,12,9
1st_century,china,,2,
1st_century_BC,egypt,armenia,2,2
1_Ceres,,,,
2-6-0,jersey,,5,
2-8-0,germany,,2,
2003_Atlantic_hurricane_season,mexico,bermuda,11,8
2004_Atlantic_hurricane_season,bahamas,united states,10,10
2004_Indian_Ocean_earthquake,thailand,sri lanka,18,15
2005_Atlantic_hurricane_season,mexico,united states,12,11
2005_Hertfordshire_Oil_Storage_Terminal_fire,france,,2,
2005_Kashmir_earthquake,pakistan,india,37,9
2005_Lake_Tanganyika_earthquake,,,,
2005_Sumatra_earthquake,thailand,sri lanka,5,4
20th_century,united states,china,7,3
21st_century,france,united states,6,6
2nd_century,,,,
3rd_century,china,,2,
3_Juno,,,,
4-2-0,,,,
4-4-0,,,,
4-6-0,,,,
47_Ursae_Majoris,,,,
47_Ursae_Majoris_b,,,,
47_Ursae_Majoris_c,,,,
4th_century,,,,
4_Vesta,,,,
55_Cancri,,,,
55_Cancri_b,,,,
55_Cancri_c,,,,
55_Cancri_d,,,,
55_Cancri_e,,,,
5th_century,ireland,,2,
6-2-0,,,,
6th_century,china,japan,5,2
7th_century,china,,5,
8th_century,,,,
90377_Sedna,chile,chad,2,2
9th_century,iraq,bulgaria,2,2
A._E._J._Collins,india,france,2,2
Aachen,germany,france,7,3
Aardvark,,,,
Aarhus,denmark,germany,16,3
Abac%C3%A1,philippines,,4,
Abacus,china,,3,
Abadan,iran,iraq,9,3
Abbadid,,,,
Abbasid,syria,iraq,3,3
Abbas_I_of_Persia,iran,,3,
Abbey,france,egypt,4,3
Abbey_Theatre,ireland,,7,
Abbot,france,egypt,4,3
Abel_Tasman,new zealand,australia,8,7
Aberdeen,france,zimbabwe,3,2
Aberration_of_light,,,,
Aberystwyth,,,,
Abhidhamma_Pitaka,,,,
Abidjan,burkina faso,niger,2,2
Abkhazia,georgia,russia,37,12
Able_Archer_83,united states,germany,12,3
ABO_blood_group_system,russia,,2,
Abraham_Goldfaden,romania,russia,13,9
Abraham_Lincoln,united states,mexico,14,4
Absinthe,france,switzerland,16,13
Absolute_zero,,,,
Abstract_art,,,,
Abuja,nigeria,,14,
Abu_Dhabi,oman,saudi arabia,4,3
Acceleration,,,,
Accountancy,canada,australia,5,3
Accra,ghana,,18,
Acetic_acid,germany,,2,
Acetone,,,,
Achilles,laos,,2,
Achilles_tendon,,,,
Acid_rain,,,,
Acorn_Computers,,,,
Actinium,,,,
Action_potential,,,,
Actor,,,,
Acts_of_Union_1707,united kingdom,ireland,6,6
Actuary,ireland,france,3,2
AC_DC,australia,new zealand,10,2
Adam_Smith,,,,
Addis_Ababa,ethiopia,djibouti,16,2
Adelaide,australia,,46,
Adenosine_triphosphate,,,,
Adi_Shankara,india,,13,
Adolf_Hitler,germany,france,53,15
Adriaen_van_der_Donck,india,netherlands,10,8
Advertising,sweden,united states,3,3
Aesthetics,japan,greece,2,2
Afghanistan,afghanistan,pakistan,99,9
Afghan_Hound,afghanistan,russia,3,2
Africa,south africa,egypt,16,15
African_American_literature,united states,,9,
African_Black_Oystercatcher,,,,
African_Brush-tailed_Porcupine,cameroon,,2,
African_Buffalo,,,,
African_clawed_frog,,,,
African_Darter,,,,
African_dwarf_frog,,,,
African_Great_Lakes,kenya,burundi,2,2
African_Grey_Hornbill,,,,
African_Grey_Parrot,,,,
African_Jacana,,,,
African_Penguin,namibia,,2,
African_slave_trade,ethiopia,guinea,3,3
African_Union,sudan,south africa,8,7
African_Wild_Dog,botswana,,3,
Afrikaans,south africa,netherlands,21,11
Agamemnon,greece,,2,
Age_of_Enlightenment,germany,united states,2,2
Aggregator,,,,
Agnosticism,,,,
Agriculture,indonesia,germany,4,3
AIDS,zimbabwe,uganda,4,3
Airbus,france,germany,15,12
Airbus_A380,singapore,france,18,8
Aircraft,qatar,,2,
Aircraft_carrier,united states,china,11,6
Airship,united states,germany,7,4
Ajax_%28programming%29,,,,
AK-47,australia,mozambique,5,4
Akbar,india,,2,
Akhenaten,egypt,,15,
